date	ouv	haut	bas	clot	vol	devise	
24/10/2019 00:00	38.25	38.65	38.21	38.62	363496	EUR	
25/10/2019 00:00	38.35	38.75	38.35	38.6	368662	EUR	
28/10/2019 00:00	38.52	38.91	38.5	38.76	557550	EUR	
29/10/2019 00:00	38.64	39.26	38.64	39.08	528875	EUR	
30/10/2019 00:00	38.97	39.1	38.3	38.34	590214	EUR	
31/10/2019 00:00	38.5	38.67	37.88	38.52	527576	EUR	
01/11/2019 00:00	38.72	39.67	38.66	39.55	911786	EUR	
04/11/2019 00:00	39.57	39.78	39.41	39.41	821587	EUR	
05/11/2019 00:00	39.55	39.58	39.08	39.5	766911	EUR	
06/11/2019 00:00	39.5	39.6	39	39.02	666624	EUR	
07/11/2019 00:00	39.22	39.83	38.8	39.71	1046685	EUR	
08/11/2019 00:00	39.56	39.71	39.25	39.71	574335	EUR	
11/11/2019 00:00	39.17	39.37	38.47	38.59	883274	EUR	
12/11/2019 00:00	38.82	38.82	38.23	38.51	582710	EUR	
13/11/2019 00:00	38.5	38.5	37.87	38.08	729487	EUR	
14/11/2019 00:00	38	38.28	37.9	38.04	570681	EUR	
15/11/2019 00:00	38.3	38.67	38.14	38.67	706243	EUR	
18/11/2019 00:00	38.55	39.05	38.55	38.94	613569	EUR	
19/11/2019 00:00	39.52	40.27	39.38	39.8	1089785	EUR	
20/11/2019 00:00	39.56	39.59	38.71	38.96	629110	EUR	
21/11/2019 00:00	38.78	38.94	38.18	38.88	485574	EUR	
22/11/2019 00:00	38.93	39.17	38.7	38.87	628766	EUR	
25/11/2019 00:00	39	39.59	38.92	39.37	702499	EUR	
26/11/2019 00:00	39.3	39.66	38.97	39.58	1754551	EUR	
27/11/2019 00:00	39.56	39.61	39.14	39.42	789235	EUR	
28/11/2019 00:00	39.3	39.39	38.98	39.18	655307	EUR	
29/11/2019 00:00	39.1	39.19	38.76	38.83	631263	EUR	
02/12/2019 00:00	38.78	39.01	37.97	38.17	809349	EUR	
03/12/2019 00:00	38.45	38.45	37.51	37.73	554846	EUR	
04/12/2019 00:00	37.67	38.22	37.62	37.92	545743	EUR	
05/12/2019 00:00	38.15	38.73	38.02	38.63	582318	EUR	
06/12/2019 00:00	38.8	38.94	38.5	38.76	460332	EUR	
09/12/2019 00:00	38.77	38.87	38.55	38.72	307569	EUR	
10/12/2019 00:00	38.69	38.74	38.1	38.74	483356	EUR	
11/12/2019 00:00	38.79	39.26	38.68	39.26	592002	EUR	
12/12/2019 00:00	39.24	40.03	39.21	39.82	720238	EUR	
13/12/2019 00:00	40.44	40.95	40.19	40.79	1236779	EUR	
16/12/2019 00:00	40.93	41.65	40.93	41.63	942196	EUR	
17/12/2019 00:00	41.95	42.58	41.63	42.25	2413275	EUR	
18/12/2019 00:00	42.03	42.15	41.01	41.4	1680722	EUR	
19/12/2019 00:00	41.36	41.42	40.81	41.35	1615977	EUR	
20/12/2019 00:00	41.3	41.52	40.76	41.14	1685316	EUR	
23/12/2019 00:00	41.3	42.06	41.3	41.99	838705	EUR	
24/12/2019 00:00	41.84	42.1	41.82	42.02	113443	EUR	
27/12/2019 00:00	42.07	42.31	41.84	42.21	492650	EUR	
30/12/2019 00:00	42.06	42.18	41.77	41.97	693540	EUR	
31/12/2019 00:00	41.86	42.13	41.75	41.75	224245	EUR	
02/01/2020 00:00	42.12	42.24	41.76	41.76	575627	EUR	
03/01/2020 00:00	41.66	41.7	41	41.21	798710	EUR	
06/01/2020 00:00	40.76	40.85	39.85	40.25	1237182	EUR	
07/01/2020 00:00	40.37	40.69	39.94	40.35	1040740	EUR	
08/01/2020 00:00	40.15	40.4	39.83	40.4	842284	EUR	
09/01/2020 00:00	40.71	40.86	40.43	40.58	989133	EUR	
10/01/2020 00:00	40.6	40.89	40.31	40.48	697862	EUR	
13/01/2020 00:00	40.44	40.59	40.14	40.34	478344	EUR	
14/01/2020 00:00	40.32	41.01	40.19	41.01	1138355	EUR	
15/01/2020 00:00	41.01	41.09	40.26	40.58	865529	EUR	
16/01/2020 00:00	40.71	40.75	39.86	40.26	1156071	EUR	
17/01/2020 00:00	40.39	40.59	40.05	40.2	815182	EUR	
20/01/2020 00:00	40.3	40.34	39.37	39.38	853572	EUR	
21/01/2020 00:00	39.24	39.39	38.59	38.84	1096402	EUR	
22/01/2020 00:00	38.89	39.04	38.59	38.59	777505	EUR	
23/01/2020 00:00	38.35	38.35	37.63	37.73	1266494	EUR	
24/01/2020 00:00	37.98	38.62	37.92	38.18	1334245	EUR	
27/01/2020 00:00	37	37.07	36.12	36.85	1867873	EUR	
28/01/2020 00:00	37.05	37.42	36.59	37.27	1117370	EUR	
29/01/2020 00:00	37.23	37.83	37.09	37.53	1292194	EUR	
30/01/2020 00:00	37.1	37.28	36.77	37.28	1144538	EUR	
31/01/2020 00:00	37.49	37.68	36.7	37.03	1220473	EUR	
03/02/2020 00:00	37.14	37.41	36.98	37.41	973974	EUR	
04/02/2020 00:00	37.58	37.93	37.14	37.74	954600	EUR	
05/02/2020 00:00	37.66	38.99	37.59	38.48	1356847	EUR	
06/02/2020 00:00	38.77	39.11	38.55	38.67	791139	EUR	
07/02/2020 00:00	38.48	38.74	37.7	38.03	756272	EUR	
10/02/2020 00:00	37.94	38.15	37.52	37.78	675119	EUR	
11/02/2020 00:00	38.2	38.35	37.87	38.15	828958	EUR	
12/02/2020 00:00	38.19	38.72	38.16	38.64	995459	EUR	
13/02/2020 00:00	38.5	38.7	38.02	38.69	823815	EUR	
14/02/2020 00:00	38.55	38.97	38.51	38.51	965452	EUR	
17/02/2020 00:00	38.51	38.75	38.48	38.75	667863	EUR	
18/02/2020 00:00	38.54	38.89	38.38	38.76	1057164	EUR	
19/02/2020 00:00	38.97	39.28	38.75	38.94	811425	EUR	
20/02/2020 00:00	38.85	39.14	38.7	38.99	1093845	EUR	
21/02/2020 00:00	38.43	39.05	38.26	38.5	1455524	EUR	
24/02/2020 00:00	37	37	35.52	36.36	2722967	EUR	
25/02/2020 00:00	36.3	36.59	35.11	35.22	2195877	EUR	
26/02/2020 00:00	34.71	34.78	33.96	34.56	1829752	EUR	
27/02/2020 00:00	33.75	34.12	32.63	33.33	2245324	EUR	
28/02/2020 00:00	31.97	32.98	31.63	32.67	2574843	EUR	
02/03/2020 00:00	33.29	33.42	32.16	33.08	2702293	EUR	
03/03/2020 00:00	33.62	34.08	33.07	33.13	1846481	EUR	
04/03/2020 00:00	33.19	33.85	32.85	33.04	2063895	EUR	
05/03/2020 00:00	33.33	33.34	32	32	2649601	EUR	
06/03/2020 00:00	31	31.46	29.93	30.76	2812830	EUR	
09/03/2020 00:00	26.2	29.31	25.68	27.47	3334665	EUR	
