date	ouv	haut	bas	clot	vol	devise	
24/10/2019 00:00	96.692	96.692	95.249	96.032	1017884	EUR	
25/10/2019 00:00	96.527	96.527	95.455	96.28	720896	EUR	
28/10/2019 00:00	96.197	96.898	95.579	96.692	924868	EUR	
29/10/2019 00:00	96.609	96.815	96.032	96.692	893814	EUR	
30/10/2019 00:00	96.527	97.021	95.909	96.609	901602	EUR	
31/10/2019 00:00	96.568	98.917	96.321	98.175	1711663	EUR	
01/11/2019 00:00	98.464	98.588	97.145	97.64	846647	EUR	
04/11/2019 00:00	97.887	98.917	97.31	98.175	917304	EUR	
05/11/2019 00:00	98.258	98.959	97.969	98.505	1004171	EUR	
06/11/2019 00:00	98.382	98.835	97.722	98.835	945369	EUR	
07/11/2019 00:00	98.917	99.041	97.805	98.175	1036006	EUR	
08/11/2019 00:00	97.969	98.67	97.763	98.546	967959	EUR	
11/11/2019 00:00	98.423	98.588	97.805	97.887	627556	EUR	
12/11/2019 00:00	97.887	98.423	97.392	97.763	768282	EUR	
13/11/2019 00:00	97.598	99.247	97.598	98.711	1057297	EUR	
14/11/2019 00:00	98.794	99.206	98.011	98.464	762187	EUR	
15/11/2019 00:00	98.917	100.319	98.917	100.071	1438073	EUR	
18/11/2019 00:00	100.154	100.731	99.494	100.731	729638	EUR	
19/11/2019 00:00	100.978	101.267	99.906	100.03	803117	EUR	
20/11/2019 00:00	99.659	99.989	99.288	99.7	940192	EUR	
21/11/2019 00:00	99.082	99.865	98.794	99.536	1111322	EUR	
22/11/2019 00:00	99.577	100.525	99.536	100.525	1210390	EUR	
25/11/2019 00:00	100.607	100.937	99.906	100.607	911133	EUR	
26/11/2019 00:00	100.896	100.896	100.113	100.566	1483703	EUR	
27/11/2019 00:00	100.648	101.019	100.03	100.401	779517	EUR	
28/11/2019 00:00	100.195	100.937	100.071	100.69	606478	EUR	
29/11/2019 00:00	100.442	101.638	100.195	101.431	1145853	EUR	
02/12/2019 00:00	101.225	101.555	98.588	98.588	1471693	EUR	
03/12/2019 00:00	99.288	99.371	97.475	98.011	1141112	EUR	
04/12/2019 00:00	97.763	100.154	97.681	99.577	1321070	EUR	
05/12/2019 00:00	99.577	100.36	99.288	100.03	946031	EUR	
06/12/2019 00:00	100.401	101.061	99.906	100.896	906163	EUR	
09/12/2019 00:00	100.937	101.308	100.566	101.102	628611	EUR	
10/12/2019 00:00	100.607	100.896	99.536	100.772	1011860	EUR	
11/12/2019 00:00	100.401	101.102	100.03	100.854	777160	EUR	
12/12/2019 00:00	100.731	101.761	100.525	101.267	1133090	EUR	
13/12/2019 00:00	102.462	103.039	101.596	102.008	1509909	EUR	
16/12/2019 00:00	102.256	103.121	102.256	102.833	834736	EUR	
17/12/2019 00:00	102.874	103.204	102.421	102.503	1028198	EUR	
18/12/2019 00:00	102.792	102.956	102.503	102.709	1048957	EUR	
19/12/2019 00:00	102.874	103.204	102.462	103.121	980930	EUR	
20/12/2019 00:00	103.245	105.471	103.204	104.605	2580098	EUR	
23/12/2019 00:00	104.688	104.935	103.533	104.234	670254	EUR	
24/12/2019 00:00	104.069	104.275	103.492	103.863	102102	EUR	
27/12/2019 00:00	103.946	104.729	103.451	104.564	701711	EUR	
30/12/2019 00:00	104.44	104.729	103.616	103.822	599206	EUR	
31/12/2019 00:00	103.533	104.028	103.327	104.028	222310	EUR	
02/01/2020 00:00	104.275	104.935	103.863	104.44	862502	EUR	
03/01/2020 00:00	103.987	104.399	103.657	104.11	863289	EUR	
06/01/2020 00:00	103.327	103.698	102.586	103.41	891444	EUR	
07/01/2020 00:00	103.327	104.234	102.421	102.956	1049714	EUR	
08/01/2020 00:00	101.143	103.245	100.648	103.039	1110905	EUR	
09/01/2020 00:00	103.575	103.904	103.08	103.451	824410	EUR	
10/01/2020 00:00	103.451	103.987	103.204	103.698	727302	EUR	
13/01/2020 00:00	104.028	104.481	103.74	104.069	1028870	EUR	
14/01/2020 00:00	104.275	105.141	103.286	104.688	1320993	EUR	
15/01/2020 00:00	104.275	105.182	104.275	104.523	1004978	EUR	
16/01/2020 00:00	104.317	105.347	104.234	104.976	1010086	EUR	
17/01/2020 00:00	105.265	107.037	105.223	106.666	1103937	EUR	
20/01/2020 00:00	106.666	106.707	106.048	106.212	505709	EUR	
21/01/2020 00:00	105.924	106.913	105.306	106.913	957707	EUR	
22/01/2020 00:00	107.037	107.325	106.542	106.789	1192487	EUR	
23/01/2020 00:00	106.542	106.789	105.635	105.965	1001179	EUR	
24/01/2020 00:00	106.336	107.737	106.254	107.655	1106260	EUR	
